Date,USD,EUR,RUR
2013-01-04,7.993000,10.472429,0.26316
2013-01-08,7.993000,10.400492,0.26316
2013-01-09,7.993000,10.459640,0.26316
2013-01-10,7.993000,10.435661,0.26274
2013-01-11,7.993000,10.481221,0.26323
2013-01-14,7.993000,10.609908,0.26420
2013-01-15,7.993000,10.663461,0.26414
2013-01-16,7.993000,10.652271,0.26418
2013-01-17,7.993000,10.612306,0.26345
2013-01-18,7.993000,10.685042,0.26342
2013-01-21,7.993000,10.649873,0.26461
2013-01-22,7.993000,10.649074,0.26382
2013-01-23,7.993000,10.644278,0.26471
2013-01-24,7.993000,10.654669,0.26441
2013-01-25,7.993000,10.669856,0.26498
2013-01-28,7.993000,10.765772,0.26603
2013-01-29,7.993000,10.745789,0.26574
2013-01-30,7.993000,10.736997,0.26510
2013-01-31,7.993000,10.823321,0.26619
2013-02-01,7.993000,10.830515,0.26629
2013-02-04,7.993000,10.905649,0.26646
2013-02-05,7.993000,10.832114,0.26710
2013-02-06,7.993000,10.820124,0.26534
2013-02-07,7.993000,10.804138,0.26679
2013-02-08,7.993000,10.827318,0.26599
2013-02-11,7.993000,10.689838,0.26504
2013-02-12,7.993000,10.703426,0.26503
2013-02-13,7.993000,10.740993,0.26492
2013-02-14,7.993000,10.774564,0.26582
2013-02-15,7.993000,10.652271,0.26575
2013-02-18,7.993000,10.650673,0.26543
2013-02-19,7.993000,10.672254,0.26532
2013-02-20,7.993000,10.669856,0.26530
2013-02-21,7.993000,10.686641,0.26599
2013-02-22,7.993000,10.539570,0.26437
2013-02-25,7.993000,10.539570,0.26328
2013-02-26,7.993000,10.633887,0.26348
2013-02-27,7.993000,10.452446,0.26130
2013-02-28,7.993000,10.468432,0.26104
2013-03-01,7.993000,10.494010,0.26196
2013-03-04,7.993000,10.390900,0.26088
2013-03-05,7.993000,10.396495,0.25962
2013-03-06,7.993000,10.418076,0.26039
2013-03-07,7.993000,10.418876,0.26103
2013-03-11,7.993000,10.398893,0.25983
2013-03-12,7.993000,10.386104,0.25987
2013-03-13,7.993000,10.433263,0.25994
2013-03-14,7.993000,10.375713,0.26018
2013-03-15,7.993000,10.340544,0.25971
2013-03-18,7.993000,10.459640,0.26019
2013-03-19,7.993000,10.334150,0.25875
2013-03-20,7.993000,10.346139,0.25927
2013-03-21,7.993000,10.346939,0.25830
2013-03-22,7.993000,10.318963,0.25874
2013-03-25,7.993000,10.349336,0.25840
2013-03-26,7.993000,10.338946,0.25986
2013-03-27,7.993000,10.279797,0.25890
2013-03-28,7.993000,10.205462,0.25898
2013-03-29,7.993000,10.235037,0.25787
2013-04-01,7.993000,10.235037,0.25715
2013-04-02,7.993000,10.235037,0.25693
2013-04-03,7.993000,10.263012,0.25686
2013-04-04,7.993000,10.253420,0.25462
2013-04-05,7.993000,10.245427,0.25198
2013-04-08,7.993000,10.346139,0.25278
2013-04-09,7.993000,10.409284,0.25283
2013-04-10,7.993000,10.422872,0.25612
2013-04-11,7.993000,10.459640,0.25781
2013-04-12,7.993000,10.486017,0.25883
2013-04-15,7.993000,10.432464,0.25842
2013-04-16,7.993000,10.455643,0.25533
2013-04-17,7.993000,10.494010,0.25414
2013-04-18,7.993000,10.494010,0.25592
2013-04-19,7.993000,10.426869,0.25203
2013-04-22,7.993000,10.482820,0.25406
2013-04-23,7.993000,10.420474,0.25321
2013-04-24,7.993000,10.382907,0.25261
2013-04-25,7.993000,10.395696,0.25301
2013-04-26,7.993000,10.454844,0.25523
2013-04-29,7.993000,10.390101,0.25603
2013-04-30,7.993000,10.481221,0.25573
2013-05-07,7.993000,10.448450,0.25748
2013-05-08,7.993000,10.476425,0.25718
2013-05-13,7.993000,10.498805,0.25715
2013-05-14,7.993000,10.369319,0.25474
2013-05-15,7.993000,10.372516,0.25555
2013-05-16,7.993000,10.282195,0.25433
2013-05-17,7.993000,10.302977,0.25442
2013-05-18,7.993000,10.286192,0.25461
2013-05-20,7.993000,10.286192,0.25461
2013-05-21,7.993000,10.273403,0.25504
2013-05-22,7.993000,10.283794,0.25637
2013-05-23,7.993000,10.329354,0.25596
2013-05-24,7.993000,10.301378,0.25398
2013-05-27,7.993000,10.342143,0.25523
2013-05-28,7.993000,10.342143,0.25535
2013-05-29,7.993000,10.341343,0.25473
2013-05-30,7.993000,10.352534,0.25358
2013-05-31,7.993000,10.346139,0.25303
2013-06-01,7.993000,10.395696,0.25137
2013-06-03,7.993000,10.395696,0.25137
2013-06-04,7.993000,10.397294,0.24940
2013-06-05,7.993000,10.464436,0.25108
2013-06-06,7.993000,10.444453,0.24992
2013-06-07,7.993000,10.485217,0.24870
2013-06-10,7.993000,10.598718,0.24792
2013-06-11,7.993000,10.557954,0.24727
2013-06-12,7.993000,10.609109,0.24673
2013-06-13,7.993000,10.612306,0.24673
2013-06-14,7.993000,10.642680,0.24710
2013-06-17,7.993000,10.633088,0.25133
2013-06-18,7.993000,10.660264,0.25231
2013-06-19,7.993000,10.689838,0.25070
2013-06-20,7.993000,10.715416,0.24885
2013-06-21,7.993000,10.550760,0.24440
2013-06-25,7.993000,10.534774,0.24411
2013-06-26,7.993000,10.498006,0.24433
2013-06-27,7.993000,10.410083,0.24304
2013-07-01,7.993000,10.416478,0.24312
2013-07-02,7.993000,10.420474,0.24331
2013-07-03,7.993000,10.404488,0.24260
2013-07-04,7.993000,10.358129,0.24061
2013-07-05,7.993000,10.378111,0.24104
2013-07-08,7.993000,10.297382,0.24057
2013-07-09,7.993000,10.271005,0.23988
2013-07-10,7.993000,10.276600,0.24160
2013-07-11,7.993000,10.241431,0.24287
2013-07-12,7.993000,10.426069,0.24528
2013-07-15,7.993000,10.418076,0.24486
2013-07-16,7.993000,10.400492,0.24502
2013-07-17,7.993000,10.485217,0.24562
2013-07-18,7.993000,10.499605,0.24630
2013-07-19,7.993000,10.465235,0.24670
2013-07-22,7.993000,10.489214,0.24648
2013-07-23,7.993000,10.523584,0.24728
2013-07-24,7.993000,10.534774,0.24738
2013-07-25,7.993000,10.587528,0.24711
2013-07-26,7.993000,10.552359,0.24565
2013-07-29,7.993000,10.598718,0.24491
2013-07-30,7.993000,10.606711,0.24328
2013-07-31,7.993000,10.617901,0.24302
2013-08-01,7.993000,10.610708,0.24197
2013-08-02,7.993000,10.579535,0.24240
2013-08-05,7.993000,10.553158,0.24150
2013-08-06,7.993000,10.596320,0.24309
2013-08-07,7.993000,10.614704,0.24266
2013-08-08,7.993000,10.634687,0.24232
2013-08-09,7.993000,10.678648,0.24265
2013-08-12,7.993000,10.689039,0.24324
2013-08-13,7.993000,10.614704,0.24301
2013-08-14,7.993000,10.622697,0.24190
2013-08-15,7.993000,10.585130,0.24106
2013-08-16,7.993000,10.628292,0.24221
2013-08-19,7.993000,10.662662,0.24264
2013-08-20,7.993000,10.665859,0.24278
2013-08-21,7.993000,10.704226,0.24221
2013-08-22,7.993000,10.697831,0.24241
2013-08-23,7.993000,10.649074,0.24082
2013-08-27,7.993000,10.674652,0.24181
2013-08-28,7.993000,10.661063,0.24132
2013-08-29,7.993000,10.668257,0.24090
2013-08-30,7.993000,10.603514,0.24091
2013-09-02,7.993000,10.578735,0.24041
2013-09-03,7.993000,10.556355,0.24038
2013-09-04,7.993000,10.528380,0.23953
2013-09-05,7.993000,10.527580,0.23884
2013-09-06,7.993000,10.552359,0.23938
2013-09-09,7.993000,10.484418,0.23907
2013-09-10,7.993000,10.545964,0.23986
2013-09-11,7.993000,10.582732,0.24177
2013-09-12,7.993000,10.605112,0.24248
2013-09-13,7.993000,10.622697,0.24464
2013-09-16,7.993000,10.626694,0.24413
2013-09-17,7.993000,10.676250,0.24753
2013-09-18,7.993000,10.675451,0.24728
2013-09-19,7.993000,10.672254,0.24788
2013-09-20,7.993000,10.826519,0.25303
2013-09-23,7.993000,10.801740,0.25189
2013-09-24,7.993000,10.796944,0.25048
2013-09-25,7.993000,10.768969,0.25122
2013-09-26,7.993000,10.793747,0.25030
2013-09-27,7.993000,10.789751,0.24843
2013-09-30,7.993000,10.820124,0.24712
2013-10-01,7.993000,10.794547,0.24606
2013-10-02,7.993000,10.833712,0.24749
2013-10-03,7.993000,10.802540,0.24748
2013-10-04,7.993000,10.865684,0.24881
2013-10-07,7.993000,10.864885,0.24900
2013-10-08,7.993000,10.848100,0.24751
2013-10-09,7.993000,10.851297,0.24747
2013-10-10,7.993000,10.802540,0.24699
2013-10-11,7.993000,10.816128,0.24703
2013-10-14,7.993000,10.843304,0.24813
2013-10-15,7.993000,10.841705,0.24772
2013-10-16,7.993000,10.784955,0.24771
2013-10-17,7.993000,10.839307,0.24780
2013-10-18,7.993000,10.920037,0.24915
2013-10-21,7.993000,10.937621,0.25099
2013-10-22,7.993000,10.924033,0.25055
2013-10-23,7.993000,10.929628,0.25029
2013-10-24,7.993000,10.991974,0.25179
2013-10-25,7.993000,11.034337,0.25245
2013-10-28,7.993000,11.011956,0.25232
2013-10-29,7.993000,11.017551,0.25126
2013-10-30,7.993000,11.004762,0.25022
2013-10-31,7.993000,10.994372,0.24930
2013-11-01,7.993000,10.903251,0.24919
